holeDiameter,rectHeight,rectWidth,itemType,elementType,itemMaterial,cappedUncapped,itemDiameter,itemInsulation,insulationDiameter,supportType,supportThickness,supportDensityId,supportMaterial,fireSide,density.$id,density.id,density.thicknessId,density.thickness,density.minDensity,density.maxDensity,density.distances,fireRate,Y,Y_type
0.2,0.3,0.3,0,1,-1,-1,0.105,1,0.005,CEILING,0.05,17,2,2,13,4092,4090,,500,-1,,4,3,1
0.2,0.3,0.3,2,1,-1,-1,0.2,1,0.005,RIGID_WALL,0.12,10,0,0,13,4092,4090,,500,-1,,4,151,10
0.105,0.3,0.3,2,1,-1,-1,0.2,1,0.005,FLEXIBLE_WALL,0.12,32,0,0,13,4092,4090,,500,-1,,4,3,1
0.1,0.3,0.3,0,1,1,-1,0.1,1,0.005,FLOOR,0.15,33,2,2,10,4089,4087,,500,1599,,4,119,6
0.1,0.3,0.3,0,1,1,-1,0.1,1,0.005,RIGID_WALL,0.12,10,0,0,10,4089,4087,,500,1599,,4,106,39
0.06,0.3,0.3,0,1,-1,-1,0.05,1,0.005,RIGID_WALL,0.12,10,0,0,10,4089,4087,,500,1599,,4,120,7
0.06,0.25,0.35,0,1,1,-1,0.25,1,0.005,FLEXIBLE_WALL,0.12,32,1,1,10,4089,4087,,500,1599,,3,100,6
0.3,0.25,0.35,3,1,1,-1,0.3,1,0.005,RIGID_WALL,0.2,10,0,0,13,4092,4090,,500,-1,,2,150,34
0.2,0.25,0.35,0,1,-1,-1,0.1,1,0.005,FLEXIBLE_WALL,0.05,31,0,0,13,4092,4090,,500,-1,,1,136,8
0.1,0.25,0.35,0,1,1,-1,0.09,1,0.005,FLEXIBLE_WALL,0.12,32,0,0,13,4092,4090,,500,-1,,4,3,1
0.1,0.25,0.35,0,1,1,-1,0.1,1,0.005,FLEXIBLE_WALL,0.12,31,0,0,13,4092,4090,,500,-1,,4,3,1
0.2,0.25,0.35,0,1,1,-1,0.1,1,0.005,RIGID_WALL,0.2,10,0,0,13,4092,4090,,500,-1,,1,3,1
0.2,0.25,0.25,2,1,1,-1,0.1,1,0.005,RIGID_WALL,0.12,10,0,0,13,4092,4090,,500,-1,,4,75,4
0.2,0.25,0.25,0,1,1,-1,0.095,1,0.005,RIGID_WALL,0.12,10,0,0,13,4092,4090,,500,-1,,1,119,6
0.1,0.25,0.25,0,1,1,-1,0.1,1,0.005,FLEXIBLE_WALL,0.2,32,0,0,13,4092,4090,,500,-1,,4,3,1
0.1,0.25,0.25,0,2,12,-1,0.1,1022,0.01,CEILING,0.05,16,2,2,13,4092,4090,,500,-1,,4,150,34
0.15,0.25,0.25,0,1,1,-1,0.09,1022,0.01,FLEXIBLE_WALL,0.12,32,0,0,13,4092,4090,,500,-1,,4,114,6
0.15,0.2,0.2,3,1,1,-1,0.05,1022,0.01,RIGID_WALL,0.12,10,0,0,13,4092,4090,,500,-1,,4,3,1
0.1,0.2,0.2,0,1,1,-1,0.1,1022,0.01,CEILING,0.05,17,2,2,13,4092,4090,,500,-1,,4,3,1
0.15,0.2,0.2,3,1,-1,-1,0.014748737341529162,1,0.005,FLEXIBLE_WALL,0.12,32,0,0,13,4092,4090,,500,-1,,4,150,34
0.15,0.3,0.3,0,2,12,-1,0.1,1022,0.01,CEILING,0.05,17,2,2,13,4092,4090,,500,-1,,4,3,1
0.2,0.3,0.3,0,1,1,-1,0.1,,,RIGID_WALL,0.12,10,0,0,13,4092,4090,,500,-1,,4,3,1
0.1,0.3,0.3,0,1,1,-1,0.1,,,RIGID_WALL,0.15,10,0,0,13,4092,4090,,500,-1,,4,120,7
0.4,0.3,0.3,0,1,1,-1,0.4,,,RIGID_WALL,0.12,10,0,0,13,4092,4090,,500,-1,,4,1673,6
0.2,0.3,0.3,0,1,1,-1,0.05,,,RIGID_WALL,0.2,10,0,0,13,4092,4090,,500,-1,,1,3,1
0.25,0.3,0.3,0,2,12,-1,0.05,,,FLEXIBLE_WALL,0.05,31,0,0,13,4092,4090,,500,-1,,4,212,18
0.1,0.3,0.3,0,1,1,-1,0.1,,,FLEXIBLE_WALL,0.12,32,0,0,13,4092,4090,,500,-1,,4,119,6
0.1,0.2,0.2,0,2,12,-1,0.11,1022,0.03,FLEXIBLE_WALL,0.12,32,0,0,13,4092,4090,,500,-1,,4,150,34
0.1,0.2,0.2,0,1,1,-1,0.1,1022,0.03,FLEXIBLE_WALL,0.2,32,0,0,13,4092,4090,,500,-1,,4,119,6
